name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
Ancestor's Chosen,130550,normal,,{5}{W}{W},7,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Uncommon,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",,Pete Venters,1,4,4,,['b7c19924-b4bf-56fc-aa73-f586e940bd42']
Ancestor's Chosen,,normal,,{5}{W}{W},7,['W'],['W'],Creature — Human Cleric,,"['Human', 'Cleric']",Uncommon,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","""The will of all, by my hand done.""",Pete Venters,1★,4,4,,['5f8287b1-5bb6-5f4c-ad17-316a40d5bb0c']
Angel of Mercy,129465,normal,,{4}{W},5,['W'],['W'],Creature — Angel,,['Angel'],Uncommon,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",Every tear shed is a drop of immortality.,Volkan Baǵa,2,3,3,,['8fd4e2eb-3eb4-50ea-856b-ef638fa47f8a']
Angel of Mercy,,normal,,{4}{W},5,['W'],['W'],Creature — Angel,,['Angel'],Uncommon,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",Every tear shed is a drop of immortality.,Volkan Baǵa,2★,3,3,,['57aaebc1-850c-503d-9f6e-bb8d00d8bf7c']
Angelic Blessing,129711,normal,,{2}{W},3,['W'],['W'],Sorcery,,,Common,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,Mark Zug,3,,,,['c5655330-5131-5f40-9d3e-0549d88c6e9e']
Angelic Blessing,,normal,,{2}{W},3,['W'],['W'],Sorcery,,,Common,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,Mark Zug,3★,,,,['55bd38ca-dc73-5c06-8f80-a6ddd2f44382']
Angelic Chorus,129710,normal,,{3}{W}{W},5,['W'],['W'],Enchantment,,,Rare,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",The harmony of the glorious is a dirge to the wicked.,Jim Murray,4,,,,
Angelic Wall,129671,normal,,{1}{W},2,['W'],['W'],Creature — Wall,,['Wall'],Common,"Defender (This creature can't attack.)
Flying","""The Ancestor protects us in ways we can't begin to comprehend.""
—Mystic elder",John Avon,5,0,4,,['60b93108-8790-591b-844e-c3d311698767']
Angelic Wall,,normal,,{1}{W},2,['W'],['W'],Creature — Wall,,['Wall'],Common,"Defender (This creature can't attack.)
Flying","""The Ancestor protects us in ways we can't begin to comprehend.""
—Mystic elder",John Avon,5★,0,4,,['fadda48c-6226-5ac5-a2b9-e9170d2017cd']
Aura of Silence,132127,normal,,{1}{W}{W},3,['W'],['W'],Enchantment,,,Uncommon,"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice Aura of Silence: Destroy target artifact or enchantment.",Not all silences are easily broken.,D. Alexander Gregory,6,,,,
Aven Cloudchaser,129470,normal,,{3}{W},4,['W'],['W'],Creature — Bird Soldier,,"['Bird', 'Soldier']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.",,Justin Sweet,7,2,2,,['6adaf14d-43e3-521a-adf1-960c808e5b1a']
Aven Cloudchaser,,normal,,{3}{W},4,['W'],['W'],Creature — Bird Soldier,,"['Bird', 'Soldier']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.","""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""
—Nomad myth",Justin Sweet,7★,2,2,,['8ac972b5-9f6e-5cc8-91c3-b9a40a98232e']
Ballista Squad,129477,normal,,{3}{W},4,['W'],['W'],Creature — Human Rebel,,"['Human', 'Rebel']",Uncommon,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",The perfect antidote for a tightly packed formation.,Matthew D. Wilson,8,2,2,,
Bandage,132106,normal,,{W},1,['W'],['W'],Instant,,,Common,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.","Life is measured in inches. To a healer, every one of those inches is precious.",Rebecca Guay,9,,,,
Beacon of Immortality,130553,normal,,{5}{W},6,['W'],['W'],Instant,,,Rare,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,The cave floods with light. A thousand rays shine forth and meld into one.,Rob Alexander,10,,,,
Benalish Knight,136279,normal,,{2}{W},3,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Common,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)","""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",Zoltan Boros & Gabor Szikszai,11,2,2,,['0d2a4e1d-cc12-5675-8044-9a7bc7d60050']
Benalish Knight,,normal,,{2}{W},3,['W'],['W'],Creature — Human Knight,,"['Human', 'Knight']",Common,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)","""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",Zoltan Boros & Gabor Szikszai,11★,2,2,,['62365fbb-af07-5c2a-976d-e3092bdfc317']
"Cho-Manno, Revolutionary",130554,normal,,{2}{W}{W},4,['W'],['W'],Legendary Creature — Human Rebel,['Legendary'],"['Human', 'Rebel']",Rare,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","""Mercadia's masks can no longer hide the truth. Our day has come at last.""",Steven Belledin,12,2,2,,
